market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date
1.213326064,Anna Kalinskaya,Brenda Fruhvirtova,1.05,21.0,Anna Kalinskaya,Anna Kalinskaya,Brenda Fruhvirtova,2023-04-24
1.21332607,Varvara Gracheva,Xiyu Wang,21.0,1.01,Xiyu Wang,Xiyu Wang,Varvara Gracheva,2023-04-24
1.21332645,Sloane Stephens,Jaqueline Cristian,5.1,1.24,Jaqueline Cristian,Jaqueline Cristian,Sloane Stephens,2023-04-24
1.213326452,Elina Svitolina,Aliaksandra Sasnovich,34.0,2.28,Aliaksandra Sasnovich,Aliaksandra Sasnovich,Elina Svitolina,2023-04-24
1.213326706,Lesia Tsurenko,Lucia Bronzetti,1.62,60.0,Lesia Tsurenko,Lesia Tsurenko,Lucia Bronzetti,2023-04-24
1.213326834,Maryna Zanevska,Sofia Kenin,1.04,26.0,Maryna Zanevska,Maryna Zanevska,Sofia Kenin,2023-04-24
1.213326835,Cristina Bucsa,Rebeka Masarova,12.5,1.08,Rebeka Masarova,Rebeka Masarova,Cristina Bucsa,2023-04-24
1.21332703,Barbora Strycova,Elisabetta Cocciaretto,21.0,1.04,Elisabetta Cocciaretto,Elisabetta Cocciaretto,Barbora Strycova,2023-04-24
1.21332731,Anastasia Pavlyuchenkova,Victoria Jimenez Kasint,1.01,100.0,Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova,Victoria Jimenez Kasintseva,2023-04-24
1.213327474,Ana Bogdan,Anna Bondar,1.58,40.0,Ana Bogdan,Ana Bogdan,Anna Bondar,2023-04-24
1.213327476,Rebecca Marino,Lin Zhu,1.02,2.04,Rebecca Marino,Rebecca Marino,Lin Zhu,2023-04-24
1.213327477,Jule Niemeier,Xinyu Wang,1.61,120.0,Jule Niemeier,Jule Niemeier,Xin Yu Wang,2023-04-24
1.213327743,Anett Kontaveit,Karolina Muchova,300.0,1.3,Karolina Muchova,Karolina Muchova,Anett Kontaveit,2023-04-24
1.213328205,Yulia Putintseva,Claire Liu,1.03,29.0,Yulia Putintseva,Yulia Putintseva,Claire Liu,2023-04-24
1.213328371,Lauren Davis,Sorana Cirstea ,50.0,1.29,Sorana Cirstea,Sorana Cirstea,Lauren Davis,2023-04-24
1.213328469,Leylah Fernandez,Mirra Andreeva,1.77,2.32,Mirra Andreeva,Mirra Andreeva,Leylah Fernandez,2023-04-24
1.213394472,Petra Kvitova,Jule Niemeier,200.0,1.01,Jule Niemeier,Jule Niemeier,Petra Kvitova,2023-04-24
1.213397001,Ana Bogdan,Shelby Rogers,1.77,2.26,Shelby Rogers,Shelby Rogers,Ana Bogdan,2023-04-24
1.213398627,Sorana Cirstea ,A Sabalenka,100.0,1.01,Aryna Sabalenka,Aryna Sabalenka,Sorana Cirstea,2023-04-24
1.213400195,Paula Badosa,Elisabetta Cocciaretto,1.01,21.0,Paula Badosa,Paula Badosa,Elisabetta Cocciaretto,2023-04-24
1.213400425,Karolina Muchova,Irinia-Camelia Begu,8.6,1.13,Irina Camelia Begu,Irina Camelia Begu,Karolina Muchova,2023-04-24
1.213402836,Maryna Zanevska,Liudmila Samsonova,50.0,1.63,Liudmila Samsonova,Liudmila Samsonova,Maryna Zanevska,2023-04-24
1.213405471,Rebecca Marino,Elise Mertens,140.0,1.34,Elise Mertens,Elise Mertens,Rebecca Marino,2023-04-24
1.213409678,Jelena Ostapenko,Linda Fruhvirtova,1.2,120.0,Jelena Ostapenko,Jelena Ostapenko,Linda Fruhvirtova,2023-04-24
1.21341044,Yulia Putintseva,Caroline Garcia,100.0,1.53,Caroline Garcia,Caroline Garcia,Yulia Putintseva,2023-04-24
1.213414409,Magdalena Frech,Jasmine Paolini,1.01,65.0,Magdalena Frech,Magdalena Frech,Jasmine Paolini,2023-04-24
1.213414411,Arantxa Rus,Amanda Anisimova,1.02,50.0,Arantxa Rus,Arantxa Rus,Amanda Anisimova,2023-04-24
1.213414418,Eugenie Bouchard,Dayana Yastremska,1.01,50.0,Eugenie Bouchard,Eugenie Bouchard,Dayana Yastremska,2023-04-24
